Subject	SelectionOrderAtt	ImId	correctVariant(s)	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
01-005-P2 OBI	0	5	incorrect	"1,1,1,-1,"	"1279.4,1291.73,1293.73,"	-1
01-005-P2 OBI	3	6	correct	"-1,-1,3,-1,"	"1295.07,1297.17,1297.63,"	-1
01-005-P2 OBI	0	7	incorrect	"-1,-1,4,-1,"	"1295.7,1296.27,1296.53,1298.13,"	-1
01-007-c	0	1	MasterImage	"2,1,"	"910.1,911.1,916.567,"	-1
01-007-c	0	2	incorrect	"-1,-1,"	-1	-1
01-007-c	0	3	incorrect	"1,-1,"	"909.833,"	-1
01-007-c	0	4	incorrect	"1,-1,"	"910.4,"	-1
01-007-c	0	5	incorrect	"-1,-1,"	-1	-1
01-007-c	0	6	incorrect	"2,-1,"	"910.9,912.7,"	-1
01-007-c	1	7	correct	"9,1,"	"910.633,911.533,911.733,912.3,912.9,913.133,913.767,914.9,915.6,915.967,"	6.46666
01-007-c	0	1	MasterImage	"5,6,-1,"	"916.833,918.767,921.967,923.533,925.1,929.267,933.4,933.9,936.7,937.533,938.667,"	-1
01-007-c	0	2	incorrect	"-1,-1,-1,"	-1	-1
01-007-c	2	3	correct	"-1,6,-1,"	"930.8,933.233,935.067,937.833,939.167,939.367,"	-1
01-007-c	0	4	incorrect	"-1,2,-1,"	"929.9,930.233,"	-1
01-007-c	0	5	incorrect	"-1,1,-1,"	"940,"	-1
01-007-c	0	6	incorrect	"8,2,-1,"	"918.367,919.267,919.467,919.733,919.967,920.3,921.467,922.667,939.6,939.8,"	-1
01-007-c	1	7	incorrect	"5,5,-1,"	"920.533,921.033,924.033,925.9,926.467,928.4,931.033,931.733,931.933,932.7,"	11.1333
01-007-c	0	1	MasterImage	"9,-1,"	"943.367,943.833,944.033,946,948.8,950.133,951.9,953.333,955.233,"	-1
01-007-c	0	2	incorrect	"3,-1,"	"945.333,946.533,948.033,"	-1
01-007-c	0	3	incorrect	"6,-1,"	"943.2,945,949.3,950.767,952.367,953.033,"	-1
01-007-c	0	4	incorrect	"1,-1,"	"951.167,"	-1
01-007-c	0	5	incorrect	"2,-1,"	"942.833,947,"	-1
01-007-c	0	6	incorrect	"1,-1,"	"949.567,"	-1
01-007-c	1	7	correct	"5,1,"	"953.867,954.233,955.833,956.133,956.5,958.767,"	15.2667
01-007-c	0	1	MasterImage	"8,1,"	"959.833,960.433,961.5,961.8,963.467,963.867,965.4,965.567,969.233,"	-1
01-007-c	0	2	incorrect	"-1,-1,"	-1	-1
01-007-c	0	3	incorrect	"2,-1,"	"960.833,962.133,"	-1
01-007-c	1	4	correct	"6,-1,"	"962.833,964.267,964.7,964.967,966.133,966.433,"	9.43333
01-007-c	0	5	incorrect	"-1,-1,"	-1	-1
01-007-c	0	6	incorrect	"3,-1,"	"962.333,966.7,966.9,"	-1
01-007-c	0	7	incorrect	"2,-1,"	"959.367,959.533,"	-1
01-007-c	0	1	MasterImage	"11,-1,"	"969.533,970.067,972.7,973.1,973.5,975.433,975.733,976.633,977.2,977.833,979.133,"	-1
01-007-c	0	2	incorrect	"2,-1,"	"981.5,986.067,"	-1
01-007-c	0	3	incorrect	"7,1,"	"969.8,971.267,972,973.867,976.033,977.4,978.4,989.1,"	-1
01-007-c	0	4	incorrect	"1,-1,"	"979.7,"	-1
01-007-c	1	5	correct	"7,-1,"	"981.1,982.633,983.6,984.7,985,985.5,986.4,"	18.9
01-007-c	0	6	incorrect	"3,-1,"	"980.467,985.7,986.767,"	-1
01-007-c	0	7	incorrect	"1,-1,"	"980.067,"	-1
01-007-c	0	1	MasterImage	"11,7,1,"	"989.967,990.267,990.433,991.433,991.7,992.467,995.1,995.3,997.233,998.267,998.567,1001.97,1002.87,1004.3,1004.57,1006.07,1009.63,1009.9,1013.47,"	-1
01-007-c	2	2	correct	"-1,9,1,"	"1003.07,1003.63,1007.97,1008.4,1008.57,1008.97,1009.2,1010.13,1010.47,1013.17,"	-1
01-007-c	0	3	incorrect	"4,2,-1,"	"991.033,992.067,993.033,994.9,1007.23,1007.43,"	-1
01-007-c	0	4	incorrect	"1,-1,-1,"	"993.833,"	-1
01-007-c	1	5	incorrect	"6,6,-1,"	"996,996.267,996.967,997.767,998.033,998.933,1001.37,1001.77,1002.67,1003.83,1010.97,1011.17,"	11.3334
01-007-c	0	6	incorrect	"6,4,-1,"	"989.533,994.133,994.7,995.5,999.133,999.367,1004.83,1005.03,1005.4,1005.7,"	-1
01-007-c	0	7	incorrect	"2,2,-1,"	"993.367,993.6,1006.4,1006.57,"	-1
01-007-c	0	1	MasterImage	"14,-1,"	"1013.63,1013.93,1014.93,1015.43,1015.87,1016.33,1016.93,1017.7,1018.47,1018.77,1021.53,1021.73,1022.93,1024.73,"	-1
01-007-c	0	2	incorrect	"3,-1,"	"1020.33,1020.7,1022.4,"	-1
01-007-c	1	3	correct	"6,-1,"	"1014.63,1017.13,1018.17,1019.3,1022.07,1023.43,"	13.5667
01-007-c	0	4	incorrect	"-1,-1,"	-1	-1
01-007-c	0	5	incorrect	"2,-1,"	"1020.1,1025.17,"	-1
01-007-c	0	6	incorrect	"3,-1,"	"1019.03,1019.6,1024.5,"	-1
01-007-c	0	7	incorrect	"-1,-1,"	-1	-1
01-007-c	0	1	MasterImage	"3,1,"	"1028.2,1029.97,1032.93,1038,"	-1
01-007-c	0	2	incorrect	"1,-1,"	"1034.17,"	-1
01-007-c	0	3	incorrect	"-1,1,"	"1037.83,"	-1
01-007-c	0	4	incorrect	"-1,-1,"	-1	-1
01-007-c	0	5	incorrect	"3,-1,"	"1029.37,1030.67,1031.03,"	-1
01-007-c	0	6	incorrect	"1,-1,"	"1029.07,"	-1
01-007-c	1	7	correct	"8,-1,"	"1031.37,1031.6,1031.8,1032.07,1034.73,1035.43,1035.77,1036.07,"	9.1
01-007-c	0	1	MasterImage	"10,-1,"	"1038.3,1039.6,1040.83,1041.2,1042.03,1042.3,1044.6,1044.9,1047.5,1047.83,"	-1
01-007-c	0	2	incorrect	"-1,-1,"	-1	-1
01-007-c	0	3	incorrect	"6,-1,"	"1039.17,1039.43,1040.1,1041.5,1041.83,1042.7,"	-1
01-007-c	0	4	incorrect	"1,-1,"	"1043.37,"	-1
01-007-c	1	5	correct	"5,-1,"	"1046.37,1046.8,1047.17,1048.23,1048.6,"	13.0667
01-007-c	0	6	incorrect	"6,1,"	"1043.63,1043.93,1044.1,1045.73,1049.13,1049.33,1052.1,"	-1
01-007-c	0	7	incorrect	"1,-1,"	"1043.07,"	-1
01-007-c	0	1	MasterImage	"8,8,-1,"	"1052.9,1053.2,1054.13,1054.87,1055.53,1055.87,1057.5,1057.8,1061.43,1061.73,1063.2,1064.7,1066.53,1066.73,1070.6,1071.07,"	-1
01-007-c	2	2	correct	"-1,5,1,"	"1068.87,1069.23,1071.63,1072.03,1072.73,1075.27,"	-1
01-007-c	0	3	incorrect	"2,3,-1,"	"1053.53,1054.57,1068,1068.37,1068.53,"	-1
01-007-c	1	4	incorrect	"4,7,-1,"	"1055.13,1056.3,1056.57,1058.07,1062.6,1063.73,1064.33,1065.2,1066.97,1067.2,1067.43,"	8.2
01-007-c	0	5	incorrect	"-1,2,-1,"	"1066.23,1072.97,"	-1
01-007-c	0	6	incorrect	"2,1,-1,"	"1052.4,1058.67,1065.73,"	-1
01-007-c	0	7	incorrect	"-1,1,-1,"	"1065.43,"	-1
01-007-c	0	1	MasterImage	"6,7,9,-1,-1,"	"1076.3,1077.83,1078,1078.63,1079.83,1081.07,1084.53,1084.83,1085.87,1086.1,1088.73,1090.3,1091.43,1095.87,1096.8,1097,1097.23,1099.87,1100.37,1100.6,1105.1,1106.53,"	-1
01-007-c	3	2	incorrect	"4,-1,3,1,-1,"	"1075.7,1076.83,1077.37,1078.27,1114.3,1114.5,1115.23,1117.97,"	-1
01-007-c	1	3	incorrect	"3,5,-1,2,-1,"	"1079.07,1080.4,1081.4,1085.2,1086.5,1086.73,1088.5,1090.13,1121.1,1121.53,"	8.1667
01-007-c	2	4	incorrect	"-1,7,-1,-1,-1,"	"1088.03,1088.2,1089.23,1089.63,1090.9,1091.2,1092.03,"	-1
01-007-c	0	5	incorrect	"1,1,4,1,-1,"	"1081.83,1092.67,1095.43,1095.67,1104.37,1115.63,1121.93,"	-1
01-007-c	4	6	correct	"1,2,4,4,1,"	"1081.67,1087.53,1092.9,1102.53,1102.93,1103.63,1113.03,1122.43,1123,1123.37,1123.57,1126.3,"	-1
01-007-c	0	7	incorrect	"-1,-1,12,1,-1,"	"1096.17,1096.37,1098.43,1099.03,1099.4,1101.37,1101.6,1102.03,1102.3,1105.53,1105.93,1106.13,1123.77,"	-1
01-007-c	0	1	MasterImage	"8,10,-1,"	"1127.9,1130.7,1131.03,1131.27,1133.13,1134.33,1135.2,1135.6,1143,1143.2,1144.6,1144.83,1146.83,1147.17,1148.9,1149.4,1150.47,1150.93,"	-1
01-007-c	0	2	incorrect	"-1,2,-1,"	"1139.4,1139.77,"	-1
01-007-c	2	3	correct	"-1,13,-1,"	"1140.57,1140.73,1140.97,1143.5,1145.03,1145.3,1145.47,1145.77,1146.13,1146.43,1147.6,1148.1,1149.67,"	-1
01-007-c	1	4	incorrect	"9,1,-1,"	"1127.1,1129.67,1130,1132.07,1132.47,1133.9,1134.1,1134.8,1135.9,1141.23,"	11.0667
01-007-c	0	5	incorrect	"1,4,-1,"	"1136.47,1138.57,1138.87,1139.17,1151.67,"	-1
01-007-c	0	6	incorrect	"2,2,-1,"	"1136.23,1136.63,1143.93,1151.47,"	-1
01-007-c	0	7	incorrect	"-1,3,-1,"	"1141.7,1141.9,1142.17,"	-1
01-007-c	0	1	MasterImage	"7,5,1,"	"1154.77,1155.93,1157.33,1158.43,1159.37,1161.2,1162.33,1166.93,1169.33,1172.27,1172.43,1173.53,1177.07,"	-1
01-007-c	0	2	incorrect	"-1,1,-1,"	"1166.57,"	-1
01-007-c	0	3	incorrect	"2,1,-1,"	"1155.63,1156.7,1173.33,"	-1
01-007-c	1	4	incorrect	"7,2,-1,"	"1157.77,1158.97,1160.07,1160.23,1160.5,1161.9,1162.93,1172.7,1173.03,"	10.8667
01-007-c	0	5	incorrect	"-1,1,-1,"	"1166.1,"	-1
01-007-c	0	6	incorrect	"2,3,-1,"	"1163.47,1165.27,1167.4,1168.23,1168.5,"	-1
01-007-c	2	7	correct	"-1,5,1,"	"1170.13,1173.87,1174.17,1174.53,1174.97,1176.67,"	-1
01-007-c	0	1	MasterImage	"11,-1,"	"1177.23,1177.8,1178,1178.5,1178.8,1179.93,1180.97,1182.4,1184,1184.43,1184.67,"	-1
01-007-c	0	2	incorrect	"-1,-1,"	-1	-1
