SelectionOrderAtt	ImId	correctVariant(s)	Slide_Num	Subject	FixationFrequencyPerChoiceInterval	FixationStart	TimeToFirstSelectionAtt
0	3	incorrect	17	01-005-P2 OBI	"3,-1,"	"1190.13,1191.27,1192.33,"	-1
0	4	incorrect	17	01-005-P2 OBI	"5,-1,"	"1193.13,1193.47,1194.93,1196.8,1196.97,"	-1
0	5	incorrect	17	01-005-P2 OBI	"3,-1,"	"1197.83,1198.23,1200.4,"	-1
1	6	correct	17	01-005-P2 OBI	"7,-1,"	"1199.4,1199.73,1201.03,1201.23,1201.5,1202.87,1203.23,"	15.5333
0	7	incorrect	17	01-005-P2 OBI	"3,-1,"	"1201.7,1201.97,1203.6,"	-1
0	1	MasterImage	18	01-005-P2 OBI	"6,3,5,-1,-1,"	"1207.13,1207.37,1208.47,1213.1,1213.7,1215.4,1222,1224.1,1225.57,1230.93,1231.23,1232.97,1237.57,1237.73,"	-1
2	2	incorrect	18	01-005-P2 OBI	"4,4,4,-1,-1,"	"1211.2,1214.7,1216.27,1216.43,1220.77,1223.33,1225,1225.33,1232.3,1233.4,1234.07,1238.27,"	-1
3	3	incorrect	18	01-005-P2 OBI	"1,1,6,-1,-1,"	"1207.8,1221.1,1229.47,1234.57,1234.8,1240.17,1242.3,1243.23,"	-1
0	4	incorrect	18	01-005-P2 OBI	"2,-1,4,-1,-1,"	"1209.17,1209.33,1230,1235.17,1235.33,1240.63,"	-1
1	5	incorrect	18	01-005-P2 OBI	"4,4,2,-1,-1,"	"1210.87,1212.4,1213.93,1216.73,1222.63,1223.03,1224.57,1226.1,1231.9,1243.43,"	13.5334
0	6	incorrect	18	01-005-P2 OBI	"4,2,3,-1,-1,"	"1206.97,1210.43,1218.1,1218.33,1221.5,1222.43,1229.1,1236.47,1239.77,"	-1
4	7	correct	18	01-005-P2 OBI	"2,-1,3,3,-1,"	"1206.63,1209.7,1235.63,1237.23,1241.3,1245.47,1245.67,1246.07,"	-1
0	1	MasterImage	19	01-005-P2 OBI	"6,-1,"	"1249.97,1250.87,1252.33,1253.47,1254.9,1257.23,"	-1
0	2	incorrect	19	01-005-P2 OBI	"3,-1,"	"1250.4,1251.5,1252.97,"	-1
0	3	incorrect	19	01-005-P2 OBI	"1,-1,"	"1254.07,"	-1
1	4	correct	19	01-005-P2 OBI	"2,-1,"	"1255.63,1258.33,"	12.7
0	5	incorrect	19	01-005-P2 OBI	"-1,-1,"	-1	-1
0	6	incorrect	19	01-005-P2 OBI	"3,-1,"	"1259,1259.3,1260.93,"	-1
0	7	incorrect	19	01-005-P2 OBI	"1,-1,"	"1248.57,"	-1
0	1	MasterImage	20	01-005-P2 OBI	"6,-1,"	"1262.9,1265.3,1268.5,1268.67,1272.03,1275.07,"	-1
1	2	correct	20	01-005-P2 OBI	"7,-1,"	"1265.97,1269.83,1271.17,1273.1,1274.3,1275.77,1275.93,"	15.8333
0	3	incorrect	20	01-005-P2 OBI	"1,-1,"	"1264.23,"	-1
0	4	incorrect	20	01-005-P2 OBI	"-1,-1,"	-1	-1
0	5	incorrect	20	01-005-P2 OBI	"5,1,"	"1266.37,1269.27,1270.57,1273.33,1276.23,1278.87,"	-1
0	6	incorrect	20	01-005-P2 OBI	"2,-1,"	"1266.7,1268,"	-1
0	7	incorrect	20	01-005-P2 OBI	"1,-1,"	"1267.17,"	-1
0	1	MasterImage	21	01-005-P2 OBI	"-1,8,3,-1,"	"1282.97,1284.8,1285.27,1286.27,1287.47,1288.5,1289.73,1290.17,1294.67,1294.87,1296.9,"	-1
1	2	incorrect	21	01-005-P2 OBI	"-1,4,-1,-1,"	"1282.37,1282.57,1284.4,1286.7,"	2
2	3	incorrect	21	01-005-P2 OBI	"-1,5,-1,-1,"	"1285.47,1287.93,1289.2,1290.9,1291.4,"	-1
0	4	incorrect	21	01-005-P2 OBI	"-1,-1,-1,-1,"	-1	-1
0	5	incorrect	21	01-005-P2 OBI	"1,1,1,-1,"	"1279.4,1291.73,1293.73,"	-1
3	6	correct	21	01-005-P2 OBI	"-1,-1,3,-1,"	"1295.07,1297.17,1297.63,"	-1
0	7	incorrect	21	01-005-P2 OBI	"-1,-1,4,-1,"	"1295.7,1296.27,1296.53,1298.13,"	-1
0	1	MasterImage	1	01-012-C	"3,-1,"	"1288.87,1289.07,1289.33,"	-1
0	2	incorrect	1	01-012-C	"1,-1,"	"1290.33,"	-1
0	3	incorrect	1	01-012-C	"1,-1,"	"1288.47,"	-1
0	4	incorrect	1	01-012-C	"-1,-1,"	-1	-1
0	5	incorrect	1	01-012-C	"1,-1,"	"1290.67,"	-1
0	6	incorrect	1	01-012-C	"1,-1,"	"1290.87,"	-1
1	7	correct	1	01-012-C	"5,1,"	"1289.93,1290.13,1291.1,1291.37,1291.73,1293.8,"	4.7333
0	1	MasterImage	2	01-012-C	"17,-1,"	"1294.57,1294.77,1295.77,1296.47,1297.23,1299.97,1300.13,1301.57,1302.63,1305.83,1307.87,1312.73,1313.4,1315.7,1318.13,1322.63,1324,"	-1
0	2	incorrect	2	01-012-C	"3,-1,"	"1302.03,1303.27,1303.43,"	-1
1	3	correct	2	01-012-C	"11,-1,"	"1294.3,1295.5,1296.1,1306.97,1308.67,1309.97,1311.9,1314.97,1317.27,1323.5,1324.37,"	32.1667
0	4	incorrect	2	01-012-C	"7,-1,"	"1296.73,1299.2,1299.37,1311.1,1319.5,1321,1321.17,"	-1
0	5	incorrect	2	01-012-C	"5,1,"	"1305.07,1306.4,1309.2,1309.37,1324.83,1326.83,"	-1
0	6	incorrect	2	01-012-C	"2,-1,"	"1310.37,1318.5,"	-1
0	7	incorrect	2	01-012-C	"3,-1,"	"1300.57,1319.07,1319.9,"	-1
0	1	MasterImage	3	01-012-C	"8,1,"	"1327.8,1329.97,1331.07,1334.17,1335.2,1337.6,1338,1339.93,1343.23,"	-1
0	2	incorrect	3	01-012-C	"4,-1,"	"1330.57,1331.73,1334.7,1335.97,"	-1
0	3	incorrect	3	01-012-C	"3,-1,"	"1327.37,1330.17,1338.2,"	-1
0	4	incorrect	3	01-012-C	"2,-1,"	"1332.87,1333.33,"	-1
0	5	incorrect	3	01-012-C	"3,-1,"	"1332.07,1336.47,1339,"	-1
0	6	incorrect	3	01-012-C	"1,-1,"	"1336.83,"	-1
1	7	correct	3	01-012-C	"7,1,"	"1332.43,1332.63,1338.63,1339.23,1340.33,1340.57,1340.83,1342.97,"	15.2
0	1	MasterImage	4	01-012-C	"7,-1,"	"1343.57,1348.37,1349.9,1351.77,1352.73,1354.2,1355.13,"	-1
0	2	incorrect	4	01-012-C	"1,-1,"	"1346.3,"	-1
0	3	incorrect	4	01-012-C	"1,1,"	"1345.8,1359.37,"	-1
1	4	correct	4	01-012-C	"9,-1,"	"1347.07,1348.77,1350.7,1350.97,1352.3,1353.23,1353.63,1354.57,1354.8,"	15.0333
0	5	incorrect	4	01-012-C	"2,-1,"	"1346.7,1349.2,"	-1
0	6	incorrect	4	01-012-C	"5,-1,"	"1355.5,1355.8,1356.4,1356.7,1357.67,"	-1
